,date,categoria_indice,precio_promedio,ponderador,precio_ponderado
179,2024-03-07,Otros alimentos,3033.3333333333335,0.01,30.333333333333336
180,2024-03-08,Calzado,76874.0,0.049869366,3833.657641884
181,2024-03-08,Otros alimentos,2301.875,0.01,23.01875
182,2024-03-08,Pescados y mariscos,2512.25,0.0106384,26.7263204
183,2024-03-08,Azucar/ dulces/ chocolate/golosinas/ etc.,2000.6666666666667,0.024368757,48.75375983800001
184,2024-03-08,limpieza,4336.611111111111,0.021154621,91.73936447994444
185,2024-03-08,Carnes y derivados,6680.636952275815,0.190763922,1274.4245064742613
186,2024-03-08,Electricidad,34786.33,0.022753423,791.50808110759
187,2024-03-08,Aceites/ aderezos/ grasas y manteca,2314.96,0.010342833,23.94324468168
188,2024-03-08,Bebidas alcoholicas y tabaco,5567.166646321614,0.066277068,368.97548238558954
189,2024-03-08,sin TACC,1327.052490234375,0.008681042,11.520198403929198
190,2024-03-08,Bebidas no alcoholicas,1964.2376885047327,0.059435461,116.74537252985319
191,2024-03-08,Leche/ productos lacteos/ huevos y alimentos vegetales,4273.691763741629,0.080140927,342.49761965851917
192,2024-03-08,informatica,202912.42857142858,0.021702605,4403.728286876429
193,2024-03-08,celulares y pequenos electrodomesticos,165334.71002604166,0.036171009,5980.323284364343
194,2024-03-08,libreria,2751.867665608724,0.017362084,47.77815756718258
195,2024-03-08,Prendas de vestir,78225.9335123698,0.136322445,10663.950518813688
196,2024-03-08,Alquileres,426870.5369127517,0.09,38418.34832214765
197,2024-03-08,Verduras/ tuberculos y legumbres,1492.8333333333333,0.058249318,86.95652355433333
198,2024-03-08,Frutas,2338.3753509521484,0.026902747,62.90872045770186
199,2024-03-08,Pan / pastas y cereales,2217.8403641550162,0.103988964,230.63092178586288
200,2024-03-08,cuidado oral,3128.8888888888887,0.008681042,27.162015857777774
201,2024-03-08,farmacia,2607.3076923076924,0.017362084,45.26829516769231
202,2024-03-09,farmacia,1350.8333333333333,0.017362084,23.453281803333333
203,2024-03-09,Pan / pastas y cereales,1941.696514423077,0.103988964,201.91500893726683
204,2024-03-09,cuidado oral,1624.5,0.008681042,14.102352729
205,2024-03-09,Otros alimentos,2080.8314208984375,0.01,20.808314208984374
206,2024-03-09,Pescados y mariscos,3128.0,0.0106384,33.2769152
207,2024-03-09,Alquileres,426870.5369127517,0.09,38418.34832214765
208,2024-03-09,Azucar/ dulces/ chocolate/golosinas/ etc.,3885.0,0.024368757,94.672620945
209,2024-03-09,limpieza,4025.5,0.021154621,85.15792683549999
210,2024-03-09,Carnes y derivados,5596.944645371548,0.190763922,1067.6951117679757
211,2024-03-09,Aceites/ aderezos/ grasas y manteca,2057.181818181818,0.010342833,21.277087996090906
212,2024-03-09,Calzado,76874.0,0.049869366,3833.657641884
213,2024-03-09,Bebidas alcoholicas y tabaco,5515.499979654948,0.066277068,365.5511672055896
214,2024-03-09,Bebidas no alcoholicas,2075.952501296997,0.059435461,123.38519392869013
215,2024-03-09,Leche/ productos lacteos/ huevos y alimentos vegetales,4143.664348602295,0.080140927,332.07710207383906
216,2024-03-09,informatica,159161.2857142857,0.021702605,3454.2145151492855
217,2024-03-09,celulares y pequenos electrodomesticos,145180.04437934028,0.036171009,5251.308691865516
218,2024-03-09,libreria,2751.867665608724,0.017362084,47.77815756718258
219,2024-03-09,Prendas de vestir,73162.72602696573,0.136322445,9973.721694861102
220,2024-03-09,Verduras/ tuberculos y legumbres,2998.192791278546,0.058249318,174.64268532449165
221,2024-03-09,Frutas,2232.25,0.026902747,60.05365699075
222,2024-03-09,sin TACC,1327.052490234375,0.008681042,11.520198403929198
223,2024-03-09,Electricidad,34786.33,0.022753423,791.50808110759
